space,strategies_str,n_strategies,strategy_class
evmaverick.eth,erc721,1,other_single
1todamoon.eth,erc20-balance-of,1,simple_erc20
zhudapang3.eth,ticket,1,other_single
digitalriyal.eth,spaceid,1,other_single
infinex.eth,erc721,5,multi_other
ffdao.eth,erc20-balance-of,1,simple_erc20
cryptomods.eth,erc20-balance-of,2,multi_other
gauges.aurafinance.eth,erc20-votes-with-override,2,multi_delegation
gelato.eth,erc20-balance-of,1,simple_erc20
parakeetdao.eth,multichain,1,other_single
panda-dao.eth,erc20-balance-of|erc721-with-multiplier,3,multi_other
serta.eth,ticket,1,other_single
狂奔的蜗牛4.eth,erc20-balance-of,1,simple_erc20
barnbridge.eth,contract-call|erc20-balance-of,2,multi_other
baovotes.eth,erc20-balance-of,1,simple_erc20
rdatadao.eth,contract-call|erc20-balance-of,2,multi_other
umamidao.eth,erc20-balance-of,1,simple_erc20
狂奔的蜗牛3.eth,erc20-balance-of,1,simple_erc20
blockhuobi.eth,ticket,1,other_single
thelanddaoprop.eth,erc721,1,other_single
snxgov.eth,erc721,1,other_single
chenyangcong.eth,erc721,1,other_single
blastupio.eth,contract-call|multichain,7,multi_other
skgame.eth,eth-balance,1,other_single
dawow.eth,erc721|erc721-with-multiplier,2,multi_other
ampleforthorg.eth,erc20-balance-of,1,simple_erc20
planckcatdao.eth,erc20-balance-of-weighted|erc721-with-multiplier,3,multi_other
landshare.eth,erc20-token-and-lp-weighted|masterchef-pool-balance|masterchef-pool-balance-price|single-staking-autocompound-balanceof,4,multi_wrapper_lp
beanstalkdao.eth,contract-call|delegation,2,multi_delegation
xole.eth,anti-whale,8,multi_other
swaprsnapshot.eth,multichain,1,other_single
unlock-protocol.eth,erc20-balance-of|erc20-balance-of-delegation,2,multi_delegation
kalmyapp.eth,contract-call|multichain,7,multi_other
undeadpastelnft.eth,erc721,1,other_single
yakherd.eth,erc20-balance-of|erc20-balance-of-weighted,4,multi_other
rareships.eth,erc721,1,other_single
brightmoments.eth,erc721-with-tokenid-range-weights,8,multi_other
otterclam.eth,erc20-balance-of|erc721-with-tokenid-range-weights-simple,2,multi_other
pstakefinance.eth,erc20-balance-of,1,simple_erc20
itokenpocket.eth,erc20-balance-of,1,simple_erc20
romedaofi.eth,csv|erc20-balance-of,3,multi_other
veyfi.eth,with-delegation,1,delegation
keephopeif.eth,eth-balance,1,other_single
sniperalex.eth,erc20-balance-of,3,multi_other
usebraintrust.eth,erc20-balance-of|erc20-balance-of-delegation,2,multi_delegation
tcgverse.eth,erc20-balance-of,1,simple_erc20
latticegov.eth,erc20-balance-of,2,multi_other
beanstalkfarms.eth,contract-call|delegation,2,multi_delegation
xingzepeng.eth,erc20-balance-of,1,simple_erc20
wagdie.eth,erc1155-balance-of-ids-weighted|erc20-balance-of|erc721,3,multi_other
lunargovernance.eth,erc20-balance-of,1,simple_erc20
richdaomoney.eth,erc20-balance-of,1,simple_erc20
goopsnapshot.eth,erc20-balance-of|erc721,3,multi_other
equationdao.eth,with-delegation,1,delegation
noixaref.eth,eth-balance,1,other_single
rusha.eth,whitelist,1,other_single
zombiezdao.eth,mutant-cats-stakers-and-holders,1,other_single
