space,log_n_unique_voters,mean_robust_participation_vp,std_robust_participation_vp,gini_voting_power,whale_ratio_top1pct,proposal_frequency_per_30d,repeat_voter_rate,z_rep_pct_for_votes,z_rep_pct_against_votes,z_rep_pct_abstain_votes,z_rep_choice_entropy,z_rep_pct_aligned_with_majority
alexec.eth,0.2556071217854661,-1.0021995852263457,0.801375527094288,-1.396466497423588,1.120414852325779,-0.06830926598462209,-1.9000424346062033,-1.0210012191430184,2.605227831956694,-0.33618760124422753,-0.7556887965644689,-2.7591048301660535
alpacafinance.eth,0.3173884458327794,0.6667968290552525,0.046943691719371815,0.45266383038575597,-0.016055031597783757,-0.1050023222783229,0.4169984977319109,0.11029295655889876,0.21362274268683945,0.3338918049677236,0.7979417303129067,-0.37308376406944893
ampleforthorg.eth,-0.6088429469624012,-0.8644865123050526,0.29449840908328867,-0.2522293722618706,0.12571592033310108,-0.21773296044671073,-0.10623196369105005,-0.627383356960707,0.48306932949032405,-0.2485923242892963,-0.1539002994437358,-0.07462662619254823
anglegovernance.eth,-0.2646088826106826,0.5083713518463142,0.9875543872935695,0.33945102666096133,0.7625464616941144,0.07000266423342327,0.682750663613706,-2.43899319144187,-0.6031243948588267,-0.18492993461875815,-0.4804249930414032,0.6654398892394492
apecoin.eth,1.4158603679095323,0.35595188598855215,-0.23188533050592908,0.5531337660589246,0.2408775159784137,0.861381698010108,0.6461099261904939,-0.5054246434518295,0.8138474194172562,0.9932600856175222,1.7804558943463034,-1.143012432443385
apeswap-finance.eth,-0.31075464588175283,-0.44776868367254014,0.5980599769327489,0.30917551597470766,-0.5184043030229301,-0.2764775483867887,0.024468102238117927,-0.758988449506469,1.4088304902397182,2.2667903855066314,1.138944925791973,-0.646724579278021
apollodao.eth,0.04268524918550652,-0.8928252364048328,0.5710279326180859,-1.0389655000652909,0.5746554307281742,2.600903821365541,0.42205882330960326,-0.45030670007071966,1.4652006835405715,-0.15579241836548827,0.7310429452367053,-0.6816835106092393
apolloxdao.eth,-0.7389209699609705,0.46633944423739054,-1.080875231246361,0.06531635810049086,-0.48073954829611093,-0.20473161294763412,-0.17074792039251047,-1.2489146442400387,2.7204621480705806,0.7575323960158394,1.0875427018001045,-0.440818054072792
arbitrumfoundation.eth,3.004465864142288,1.4478626307388243,-2.9309419886976693,0.643182318162092,1.2128502977160427,1.2333425815513008,0.6057783424776685,0.11298180326736376,-0.04569551837833936,0.8837894519409987,1.0936738900508327,-0.2850776346981687
assangedao.eth,0.10068174717299126,1.0009629099609711,-0.7713442300555866,0.10882991999335306,-0.8212453566690023,-0.29545274555676193,0.6470983610419647,0.16769564768043566,-0.24085698171222128,0.007965220687269384,0.2828625668974449,-0.2891276264468814
astardegens.eth,0.3864513315763923,0.3986860464517724,-0.3762667508399934,-0.24360424305191422,-0.882709393074263,-0.24543251326597815,0.30961902950717024,-0.5911590104689118,0.1267720424598956,0.9144329281933,0.5387313456793534,-1.1721805966174315
aurafinance.eth,-0.1447645976313829,0.715653193709119,-0.5896237450019017,-0.06323224405557833,0.39613153647553107,2.5811759528129343,0.6461625953391593,-1.7792637267270228,-0.5584347454680494,0.04202714454418391,-0.22420092781642958,0.5919422008282447
autometafi.eth,1.0340947711074635,-0.9089988084094924,1.7104620381388485,-1.4813499598344553,1.2550556597618503,0.1305886795574902,-1.852647388326627,0.6765030695516465,-0.61449006468978,-0.33488233589461003,-0.7506966803911341,0.7267828549375981
awsbcommunity.eth,-0.1319563922533806,-0.2949233296031683,-0.46535443070486965,-0.43224702707056245,-0.6020510090221677,1.1479974876053163,0.40480289298852024,-0.09331941133354267,0.11412515731172113,0.7731862051406738,1.070910076622367,-0.0057410009822563965
babydogevote.eth,1.0211236717778758,-0.7328804100172946,0.6613404705688877,0.2935886642280658,0.15365895465364673,-0.04793435449006423,-1.1202402065664656,0.4905730606106314,-0.3422175571782271,-0.1957195866448104,-0.5785612160132209,0.3558855436993762
badgerdao.eth,1.1727635051902292,-0.6777785551041297,-0.4083567441924522,0.4829351923126153,0.10279686638118528,-0.10028918272747167,-0.23570950056849305,0.3763480691136881,-0.44623707291294135,-0.05896225663572369,-0.2507361517201083,0.12492974519021319
balancer.eth,1.1216793479313134,0.9564065742328538,-0.5699548286472064,0.40159873549783215,0.5898795086306609,1.8966803819795766,0.5836177026261664,0.32638680921210356,-0.1848875699112491,-0.22163240968136114,0.20876233732540256,0.26009628992864786
bancornetwork.eth,0.06158873464956965,0.5308039044411069,-1.2177999816944463,0.2961719472059701,-0.1528664301013176,1.0905688188755596,0.8666916341384588,0.3751429767673821,-0.11045911981107943,-0.05389270113446063,0.6095558993749909,0.06241263568751477
banklessvault.eth,0.734243994314624,0.6636547413067738,-1.4861348579895155,0.19048534767065556,-0.7545793697524015,-0.0803416940325893,0.4162118216384943,0.08773228200899978,-0.4865241593042249,0.3368537324358187,-6.526411492180675e-05,0.27889430798147197
