space,pc1,pc2,cluster
theopendao.eth,-2.3398550342362827,3.7395071394546813,2
tokenlon.eth,-2.539988395858069,3.055168787215755,2
tomoondao.eth,-2.0410555354226254,-0.14599703963692356,2
toniya.eth,4.24488836082328,5.697019646456433,2
tracer.eth,-2.311810202226441,3.12783797527927,2
treasuregaming.eth,-2.408582100806163,-0.7905146561589892,2
trustwallet,-2.512788088582126,-1.7716176598589826,2
umamidao.eth,-2.5192338819146545,-1.7256982078582888,2
undeadpastelnft.eth,-1.8497557097754844,-0.8943113931730503,2
uniswapgovernance.eth,-2.173608546775251,-0.8161703838783189,2
unlock-protocol.eth,-2.2965351069961075,-0.5171137550432887,2
usebraintrust.eth,-2.4703173675263455,0.11479721060145032,2
vapornodes.eth,-2.461413096205437,-0.44534069590181175,2
vaultcraft-snapshot.eth,-2.356493676465097,-0.8958154291917279,2
venus-xvs.eth,-1.9593244722639471,0.015972562329904627,2
vestafinance.eth,-2.455720603561457,-0.4173620059902856,2
veyfi.eth,-2.2471034054777244,-0.39666217613270843,2
vnetwork.eth,-2.520364850218171,1.3856441294066073,2
voltagefinance.eth,-2.550031988702309,-1.2540813649027056,2
vote-perp.eth,-2.508761520115267,0.38518228440500435,2
vote.airswap.eth,-2.2888258292912553,-0.9831261242837576,2
vote.hopr.eth,-2.4482969146665647,3.619133251419192,2
vote.vitadao.eth,-2.1865164679888727,-0.10501031207410083,2
wagdie.eth,-2.427033664789126,0.8661934353623377,2
wdswap.eth,-0.43246773695698226,-0.565877725642141,2
whitelist1.eth,-1.3391095056765927,-0.07464677815502563,2
wumingqi.eth,-1.3221024618934845,0.832412319753489,2
xborg.eth,-2.495342712683781,0.5627907845164635,2
xdaistake.eth,0.04797136474573094,-0.6587276845775983,2
xec666.eth,-2.240163656264594,-1.6850673479135698,2
xingzepeng.eth,-2.045493486977456,0.966875615449829,2
xmyzz.eth,-1.9513306816524754,0.05173370510835951,2
xole.eth,-1.962072291165521,0.3481732051522318,2
xtarot.eth,-2.2547070191784346,-1.526134371069007,2
xwg.eth,-2.546917668630361,0.3032486298005238,2
yakherd.eth,-2.543978291593039,-1.7346302215685603,2
yam.eth,-1.7918948559288452,-1.4320697081796046,2
ybaby.eth,-2.4880734175801296,-2.05642016496011,2
yearn,-2.192984385364964,-1.7014467944570095,2
yequ.eth,2.300858868259182,1.5128519962998594,2
yokaiswap.eth,1.954722190903753,1.0172940611407846,2
younghwang.eth,-2.491877019603942,-1.6942318314371072,2
zerozero.eth,-2.542165430294253,-0.6223299580019445,2
zhudapang3.eth,-0.4459985288715125,0.5735243845111297,2
zhulindong.eth,-0.3373172735069665,3.7348003424660137,2
zirouziyu.eth,-0.6314016734675789,-0.6248950727993665,2
zkapedao.eth,220.97373548563587,-1.3197961075237874,1
zkaptos.eth,-2.280002295555296,3.212628967405528,2
zkswapfinance.eth,-2.276111763076144,1.9888498407380202,2
zksyncdao.eth,-0.4952888544512568,-1.8024559091456656,2
zkware.eth,0.844724717998619,-0.16245276257701008,2
zlexdl.eth,7.7612569566340195,0.5341513726119582,2
zombiezdao.eth,-2.052699208486127,2.48455991903652,2
zwei02.eth,-1.6660298079463662,-0.744502707698482,2
zys888.eth,-0.1522573243988803,0.3609689019655149,2
鈥?099.eth,5.252464498107798,-0.9281469123636062,2
鉁撯湏鉁撯湏鉁?eth,1.2737146517458386,0.05053748820625481,2
鐙傚鐨勮湕鐗?.eth,3.5297336223606597,0.7263619747921173,2
鐙傚鐨勮湕鐗?.eth,28.78466218404198,1.1543970788422842,0
鐙傚鐨勮湕鐗?.eth,1.7725576390935402,0.9782699914696338,2
鐙傚鐨勮湕鐗?.eth,30.62929614418943,1.102209040130494,0
馃捒馃捒馃捒馃捒馃捒馃捒馃捒馃捒馃捒馃捒.eth,-2.162343533109144,-1.9977066207638035,2
