space,avg_voters_per_proposal,median_voters_per_proposal,voter_turnout_proxy,gini_voting_power,hhi_voting_power,whale_ratio_top1pct,proposal_frequency_per_30d,repeat_voter_rate,mean_participation_count,std_participation_count,mean_robust_participation_vp,std_robust_participation_vp,z_rep_total_votes,z_rep_avg_voting_power,z_rep_median_voting_power,z_rep_max_voting_power,z_rep_voting_power_std,z_rep_pct_for_votes,z_rep_pct_against_votes,z_rep_pct_abstain_votes,z_rep_pct_aligned_with_majority,z_rep_is_whale_ratio,z_rep_active_duration_days,z_rep_avg_days_between_votes,z_rep_choice_entropy,log_n_unique_voters,log_total_votes,log_n_proposals,log_mean_sum_vp,log_mean_n_voters,log_n_voters_in_dao
857.79798.eth,-0.3625698629586052,-0.30417495029821073,-0.5721917451404158,-1.4813499598344553,2.373098824612301,1.2550556597618503,7.5988022705468525,-1.9106612266261969,-0.5721917451404158,-1.0035678701252053,2.3407940687929356,-4.113009690273874,-0.7212094092272429,0.0,0.0,0.0,0.0,-1.4739970612593476,3.4626122729496607,-0.33618760124422753,0.8767415519108479,-0.03149801017366141,-0.5514894683265801,-0.6244633104894063,-0.7633133328821041,-1.5781966215943315,-2.1914345535834716,-0.016648652170633136,-1.1860328948296084,-1.595029708902893,-1.5781966215943315
8848labs.eth,1.6439867176316043,2.220675944333996,0.14725853102084369,-1.4318502524306629,-0.7578945754989448,-1.0404465788416892,0.23843710563854778,-0.1666619516132567,0.14725853102084369,0.20227883247456407,-0.014681844164004053,0.09203635022831505,0.1002596487625792,0.0,0.0,0.0,0.0,-0.6744814707514134,1.1197865052229232,2.3663934848761294,-0.9706764023485106,-0.03149801017366141,-0.495474094934696,-0.5935554824138528,1.3866645397271968,0.750294971987578,0.6830486487581544,-0.15681512588437826,-0.6372548205865418,0.7581861911480363,0.750294971987578
9679999.eth,-0.3430559581502951,-0.2922465208747515,-0.5712302622161359,-1.4813499598344553,0.8053518917986796,1.2550556597618503,43.17185183406126,-1.460155497407653,-0.5712302622161359,-0.7093157243255559,-0.09877492546987787,0.38949589887484204,-0.6747694463443302,0.0,0.0,0.0,0.0,-0.5747206855998721,1.7005204168927799,-0.1046939466179126,-0.7197651754755054,-0.03149801017366141,-0.5511672274703358,-0.6337767235168982,-0.5333206666441905,-0.7659891624913562,-1.3468464649518266,0.05726935886415504,-1.0771247852612233,-1.1293605295221072,-0.7659891624913562
aavedao.eth,18.0807903787229,6.900596421471173,-0.3377163439709331,0.6227193629671072,0.0453205414142397,0.9692100472153581,1.6644744339381057,0.9180422613319468,-0.3377163439709331,-0.08552572660090768,0.8715521533816499,-0.7910324088640956,8.699282287209819,0.0,0.0,0.0,0.0,0.32561619195690156,-0.2623103129555851,0.5773866361176104,0.07413038070274403,-0.01621781641231143,1.2062152508974562,0.06185107856465332,0.8559205526474117,2.331282951440518,2.5232563592305834,1.6213917855951399,0.11910579828963669,1.7529370397262904,2.331282951440518
aavegotchi.eth,3.927025899739387,5.0159045725646125,-0.18956736722863837,0.2991301277052932,-0.6051559146304324,-0.4334551400593266,0.7977906084725613,0.9761575239517215,-0.18956736722863837,-0.38560892788096934,0.4520135943786117,-0.45065723220456005,8.699282287209819,0.0,0.0,0.0,0.0,-1.3399770482535025,-0.059135664476423856,0.48080832401352686,-0.03297869433297291,0.1296028624608311,1.9643531528680924,-0.11348360906523891,0.8693156654087678,1.3980697179086237,2.3949321342954715,1.3044527975549827,0.4091162271370254,1.0983501718169895,1.3980697179086237
abcdcba.eth,-0.19840932321856924,-0.2882703777335984,-0.6643902017394085,-0.7931609927952712,0.9973524301147788,0.3099967960469491,3.310041499771807,-0.27874990960531376,-0.6643902017394085,-0.6706132364405566,-0.8021240807268291,0.17734867323948839,0.48532950120674034,0.0,0.0,0.0,0.0,-0.43496704284340426,1.4221374736110728,-0.09883996667901586,-0.2260314725351655,-0.03149801017366141,-0.5304266240961459,-0.6384967939855432,0.30044319431306454,0.5937775767008971,0.6820960950462311,1.2241412932249736,-0.6845844618205695,-0.3407401208666312,0.5937775767008971
abracadabrabymerlinthemagician.eth,0.01730264403434558,-0.20874751491053678,-0.4840837808604053,0.2415248978258634,0.7014688171463856,0.23614679173382708,-0.027011383667329934,0.03289298548740007,-0.4840837808604053,-0.217481596362175,0.40428742908231763,-0.6872592022474017,-0.1545703371153323,0.0,0.0,0.0,0.0,0.5446156695169511,-0.4338404150685149,-0.04618428722628762,0.6119738686403488,10.47072390288675,-0.08030998690281267,0.169038884923369,-0.2293784231789121,0.4937842088066846,0.3092098774693445,0.3513527195517112,1.054715212404745,0.020361571608796983,0.4937842088066846
acrossprotocol.eth,0.3166180058692502,0.4274353876739563,0.005433171755770631,0.4865989825374215,0.1377609462777438,0.08436468707633418,0.012669517594500308,0.45572760982037186,0.005433171755770631,-0.16348652734349534,0.3264013038675821,-0.6138107346627806,1.1856360019453904,0.0,0.0,0.0,0.0,0.5118981247744994,-0.40007581490156646,0.06480000264207819,0.39174679435813003,1.2202527513922383,1.1500623453247305,0.7075916535370266,-0.1430550984894352,0.26635953605732704,0.5621128144523262,0.30864081013811595,0.43800826401540505,0.27601415123672196,0.26635953605732704
aladdindao.eth,-0.3413428883360027,-0.30417495029821073,-0.6690708380664506,-1.0570067966390295,1.8362150537038264,0.918804932125785,1.4695127199921365,0.13939796376354802,-0.6690708380664506,-0.6808250389397865,-0.9371906977555469,0.2118298387178574,0.9936587213136546,0.0,0.0,0.0,0.0,-1.0027983009196195,-0.5922130084645553,-0.3327859041889516,0.6600612478274085,2.824069395091923,0.9560987808508236,0.7588152156322571,-0.6104978783685131,-0.36562924946997033,-0.0871436774792671,1.41270579101062,0.16407635018832203,-1.1046012524094098,-0.36562924946997033
alchemistcoin.eth,0.3893927935221539,0.27634194831013914,0.10734567216111231,0.21396305406109928,-0.2539751701745093,-0.4573186177754063,-0.2668262608005726,-0.6395327153130725,0.10734567216111231,0.7548158868482973,-0.669837005962643,-0.3255924961591872,-0.46305522919563524,0.0,0.0,0.0,0.0,-1.4620398352441941,0.831034822207622,1.8290072636561783,-0.7518360890434282,-0.020164961596552608,0.2984870366851435,1.175009319453211,-0.22630004719017008,0.25424766662933324,-0.13852036289751676,-0.5060386155160412,-0.08378964645658035,0.3210806224471,0.25424766662933324
