space,log_n_unique_voters,mean_robust_participation_vp,std_robust_participation_vp,gini_voting_power,whale_ratio_top1pct,proposal_frequency_per_30d,repeat_voter_rate,z_rep_pct_for_votes,z_rep_pct_against_votes,z_rep_pct_abstain_votes,z_rep_choice_entropy,z_rep_pct_aligned_with_majority,cluster
dao.connext.eth,5.902633333401366,0.7118451967071269,0.2233650171997208,0.8471905696072117,0.4000855839917798,2.5057208237986277,0.7698630136986301,0.1537504058451669,-0.163914566307804,0.3170725620983148,0.2610541318356146,0.0193442385714602,2
dao.spaceid.eth,9.437635294412868,0.6807324250935899,0.3177256129232162,0.9654816622249304,0.8095627532647934,0.6488156539649845,0.5872838817624094,-0.0129192432528616,-0.346628032079281,0.1576196866367381,-0.572465635494126,0.2255497989908947,2
daocity.eth,8.047189562170502,0.3633083111028393,0.3097824198357342,0.21872596087346,0.1001115260233242,1.897590361445783,0.7532010243277849,-0.350420339254033,0.4161686166654862,0.4130548090919533,0.6150235757781154,-0.0663262378170743,2
daovoice.eth,2.0794415416798357,0.1153846540794912,0.4160251355425592,0.0434283270543356,0.9665052501312588,1.3780918727915197,0.5714285714285714,-0.65752835784535,0.6286467553498969,-0.203773738135553,0.2848071437657062,-1.4728004136487,2
dapang.eth,6.849066282633458,0.097276658665776,0.2755769943170511,0.0,1.0,52.826086956521735,0.7590233545647559,0.2823737942298588,-0.25802438703259,0.0847888719365599,-0.533206984184895,0.1937294582933067,2
dapang1.eth,6.875232087276577,0.1059027989263947,0.2962621076741422,0.0,1.0,26.714697406340058,0.9937952430196484,0.5298546919018206,-0.447150956070862,-0.0749088376502395,-0.310956201772602,0.4821899170939787,2
dappradar.eth,7.042286171939743,0.4611500748209435,0.2729520277285437,0.8298340614844918,0.3712342490608016,0.8161582852431988,0.4444444444444444,0.2977268162751502,-0.0953867320012841,-0.182129627649918,-0.446244769837767,0.1362954485845454,2
dawow.eth,7.38025578842646,0.4776077228805158,0.3449502419187187,0.6817908581276629,0.2821482586682028,0.7851239669421488,0.3356207111665626,-2.09181112423329,-0.371967242795821,-0.0056735512709605,-0.558961703455283,0.2545416237494999,2
decentralgames.eth,8.191740021277457,0.1958536894128563,0.3636860072667807,0.8038942392647136,0.5043642203319108,5.465949820788531,0.6734072022160665,0.2085546871861831,-0.005256641999638,-0.135019620358561,-0.0818781153146495,0.1076824723038659,2
decrypt-media.eth,8.946765374867635,0.2857753094606542,0.4252769026206549,0.2298421055089379,0.3406481185442155,0.5405405405405405,0.5029940119760479,-1.30803046608709,0.7542318200426983,0.3131862268171046,0.0396049780180836,-1.2900683899892,2
defjnite.eth,8.161089512845797,0.369643332695691,0.3135749649860759,0.0,1.0,3.457508731082654,0.9223079120251356,-0.444688719315889,0.4269767221364223,0.651930008004499,0.351956427055091,-0.703962635595707,2
deri.eth,4.23410650459726,0.3491996081952465,0.3882946532968881,0.6904496079837255,0.7652342608158874,0.6241872561768531,0.3235294117647059,-0.657966598355147,0.2003055095053544,0.4233096816094697,-0.303371078089102,-0.532766629177507,2
derify.eth,7.62657020629066,0.1893010443289643,0.3273369565916258,0.7837224604180285,0.4570121663492131,2.177858439201452,0.5953193564115066,-1.40188481316356,0.7182124180970055,0.841195530827193,0.2816557841509423,-1.13638154730011,2
deskvoting.eth,6.210600077024653,0.1204740304458247,0.3266744731386192,0.0393418825169738,0.9093001260849388,3.6677115987460818,0.6297786720321932,0.2732652361507666,-0.299405633560038,0.026385844699936,-0.421372026603054,0.1510501344058747,2
